categories,id_event,id_location,indirizzo,latitude,longitude,nome,num_events,data,ora_inizio,ora_fine
"Architettura,Arredo,Arte,Product Design",102,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-12,09:30:00,19:00:00
"Architettura,Arredo,Arte,Product Design",102,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-13,09:30:00,19:00:00
"Architettura,Arredo,Arte,Product Design",102,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-14,09:30:00,23:30:00
"Architettura,Arredo,Arte,Product Design",102,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-14,18:00:00,23:30:00
"Architettura,Arredo,Arte,Product Design",102,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-15,09:30:00,19:00:00
"Architettura,Arredo,Arte,Product Design",102,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-16,09:30:00,23:30:00
"Architettura,Arredo,Arte,Product Design",102,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-16,09:30:00,23:30:00
"Architettura,Arredo,Arte,Product Design",102,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-17,09:30:00,17:00:00
"Altro,Installazioni,Tecnologia",916,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-12,10:00:00,20:00:00
"Altro,Installazioni,Tecnologia",916,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-13,10:00:00,20:00:00
"Altro,Installazioni,Tecnologia",916,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-14,10:00:00,00:00:00
"Altro,Installazioni,Tecnologia",916,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-15,10:00:00,20:00:00
"Altro,Installazioni,Tecnologia",916,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-16,10:00:00,20:00:00
"Altro,Installazioni,Tecnologia",916,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-17,10:00:00,20:00:00
"Architettura,Arredo,Arte,Bagno,Cucina,Esterni,Illuminazione,Installazioni,Materiali speciali,Product Design,Tecnologia",1662,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-12,09:00:00,21:00:00
"Architettura,Arredo,Arte,Bagno,Cucina,Esterni,Illuminazione,Installazioni,Materiali speciali,Product Design,Tecnologia",1662,28,"Via Tortona, 31",45.451536299999994,9.1619373,Tortona 31,2,2016-04-13,09:00:00,21:00:00
