categories,id_event,latitude,longitude,participations
"('Architettura', 'Arredo', 'Arte', 'Product Design')",102,45.4515363,9.1619373,21
"('Altro', 'Installazioni', 'Tecnologia')",916,45.4515363,9.1619373,6
"('Architettura', 'Arredo', 'Arte', 'Bagno', 'Cucina', 'Esterni', 'Illuminazione', 'Installazioni', 'Materiali speciali', 'Product Design', 'Tecnologia')",1662,45.4515363,9.1619373,2
"('Product Design',)",1063,45.4689203,9.1991368,10
"('Arte', 'Installazioni')",1582,45.4850878,9.176209,3
"('Living', 'Product Design')",31,45.4850878,9.176209,24
"('Arte', 'Installazioni', 'Product Design')",1581,45.4850878,9.176209,8
"('Arredo', 'Arte', 'Conferenze, workshop', 'Product Design')",1386,45.4850878,9.176209,5
"('Altro', 'Architettura', 'Arredo', 'Cucina', 'Esterni', 'Illuminazione', 'Materiali speciali', 'Product Design')",565,45.4850878,9.176209,35
"('Architettura', 'Materiali speciali', 'Tecnologia')",624,45.4850878,9.176209,10
"('Arte', 'Product Design')",1047,45.4766103,9.1953404,9
"('Product Design',)",1107,45.4766103,9.1953404,16
"('Arte', 'Grafica', 'Installazioni', 'Party')",1590,45.465701,9.1716484,3
"('Arredo', 'Esterni', 'Moda', 'Illuminazione', 'Living', 'Product Design')",67,45.4498529,9.1798717,11
(),71,45.464932,9.199246,20
"('Materiali speciali', 'Tecnologia')",1247,45.464932,9.199246,6
"('Arredo', 'Conferenze, workshop')",1168,45.4645605,9.1880319,13
"('Arredo',)",1465,45.4645605,9.1880319,1
"('Moda',)",1504,45.4529518,9.1677228,2
"('Architettura', 'Arte', 'Installazioni', 'Product Design')",1113,45.4732053,9.1878519,2
"('Architettura', 'Arredo', 'Esterni', 'Living', 'Product Design')",877,45.4738657,9.2065545,11
"('Arte', 'Product Design')",1061,45.4639978,9.1674966,47
"('Arredo', 'Illuminazione', 'Living', 'Product Design')",920,45.4639978,9.1674966,2
"('Architettura', 'Materiali speciali', 'Product Design')",595,45.4753179,9.1851803,5
"('Moda', 'Giochi, giocattoli', 'Product Design')",1244,45.4669201,9.1954899,2
"('Arredo',)",1248,45.4644658,9.197994,15
"('Arredo', 'Arte', 'Esterni', 'Moda', 'Gioielli', 'Grafica', 'Illuminazione', 'Installazioni', 'Living', 'Materiali speciali', 'Product Design', 'Tecnologia')",1036,45.4515363,9.1619373,9
"('Moda', 'Gioielli')",1124,45.4529393,9.160143,7
"('Conferenze, workshop', 'Giochi, giocattoli', 'Grafica', 'Tecnologia')",1577,45.461758,9.209307,6
"('Conferenze, workshop',)",1610,45.461758,9.209307,3
"('Arte', 'Installazioni')",1570,45.461758,9.209307,2
"('Moda', 'Food & beverage', 'Living', 'Party')",1031,45.461758,9.209307,6
"('Arredo', 'Illuminazione')",1335,45.4828846,9.1834426,12
"('Architettura', 'Arte', 'Esterni', 'Installazioni')",80,45.47521,9.1859273,81
"('Architettura', 'Product Design')",793,45.47521,9.1859273,85
"('Architettura', 'Illuminazione', 'Installazioni', 'Product Design')",37,45.4667929,9.1990133,57
"('Architettura', 'Arredo', 'Bagno', 'Cucina', 'Grafica', 'Party', 'Product Design')",567,45.4523914,9.1668523,47
"('Installazioni',)",1454,45.4716661,9.2022398,22
"('Altro', 'Arredo', 'Cucina', 'Esterni', 'Installazioni', 'Materiali speciali', 'Product Design')",1137,45.4716661,9.2022398,20
"('Arredo', 'Arte')",57,45.4707437,9.196161,30
"('Conferenze, workshop', 'Cucina', 'Giochi, giocattoli', 'Grafica', 'Installazioni', 'Living', 'Product Design', 'Tecnologia')",1055,45.480204,9.22692,7
"('Arredo', 'Product Design')",1325,45.4539498,9.1589414,15
"('Moda', 'Grafica', 'Product Design', 'Tecnologia')",1609,45.4641611,9.1903357,7
"('Cucina',)",620,45.479739,9.1941237,20
"('Architettura', 'Installazioni', 'Materiali speciali')",1072,45.4618109,9.1867816,2
"('Arte', 'Illuminazione', 'Product Design')",1328,45.467021,9.19639,3
"('Arte', 'Living', 'Product Design')",89,45.4518696,9.156274,5
"('Arredo', 'Arte', 'Grafica')",47,45.4518696,9.156274,23
"('Arte', 'Grafica')",84,45.467151,9.200865,19
"('Moda',)",641,45.455059,9.167535,1
"('Architettura', 'Arredo', 'Arte', 'Gioielli', 'Installazioni', 'Living')",70,45.472363,9.185368,6
"('Architettura', 'Arredo', 'Arte', 'Installazioni', 'Product Design')",941,45.468873,9.202058,43
"('Product Design',)",1502,45.468873,9.202058,1
"('Product Design',)",1477,45.468873,9.202058,15
"('Architettura', 'Arredo', 'Living', 'Product Design')",909,45.468873,9.202058,9
"('Arredo', 'Gioielli', 'Illuminazione', 'Living', 'Product Design')",961,45.45149,9.1622615,14
"('Food & beverage',)",1492,45.453571,9.16987,13
"('Installazioni',)",924,45.486377,9.15784,14
"('Architettura', 'Arredo', 'Installazioni', 'Materiali speciali', 'Product Design', 'Tecnologia')",635,45.483938,9.243236,4
"('Arredo', 'Arte', 'Illuminazione', 'Installazioni', 'Product Design')",631,45.483938,9.243236,5
