categories,id_event,latitude,longitude,timeslot,position_count,cell,activity
"Architettura,Arredo,Arte,Product Design",102,45.4515363,9.1619373,1,812,9444035,9791
"Altro,Installazioni,Tecnologia",916,45.4515363,9.1619373,1,812,9444035,9791
"Architettura,Arredo,Arte,Bagno,Cucina,Esterni,Illuminazione,Installazioni,Materiali speciali,Product Design,Tecnologia",1662,45.4515363,9.1619373,1,812,9444035,9791
"Arredo,Arte,Esterni,Moda,Gioielli,Grafica,Illuminazione,Installazioni,Living,Materiali speciali,Product Design,Tecnologia",1036,45.4515363,9.1619373,1,812,9444035,9791
"Arredo,Gioielli,Illuminazione,Living,Product Design",961,45.45149,9.1622615,1,875,9444035,9791
"Altro,Arte,Installazioni,Materiali speciali,Product Design,Tecnologia",918,45.45149,9.162278,1,870,9444035,9791
"Architettura,Arredo,Cucina,Living,Tecnologia",857,45.45149,9.162278,1,870,9444035,9791
"Arredo,Arte,Grafica,Installazioni,Living,Product Design",95,45.4514093,9.1620015,1,852,9444035,9791
"Arredo,Arte,Bagno,Conferenze, workshop,Esterni,Illuminazione,Installazioni,Living,Materiali speciali,Product Design",69,45.4514093,9.1620015,1,852,9444035,9791
Arredo,554,45.4514093,9.1620015,1,852,9444035,9791
"Architettura,Arredo,Esterni,Tecnologia",1283,45.4514093,9.1620015,1,852,9444035,9791
Tecnologia,1547,45.45157,9.16206,1,826,9444035,9791
Tecnologia,581,45.45149,9.162278,1,870,9444035,9791
,1371,45.4516093,9.162278,1,838,9444035,9791
Product Design,1448,45.45149,9.162278,1,870,9444035,9791
Product Design,659,45.4516093,9.162211,1,843,9444035,9791
"Architettura,Arredo,Arte,Product Design",102,45.4515363,9.1619373,2,1971,9444035,19141
"Altro,Installazioni,Tecnologia",916,45.4515363,9.1619373,2,1971,9444035,19141
"Architettura,Arredo,Arte,Bagno,Cucina,Esterni,Illuminazione,Installazioni,Materiali speciali,Product Design,Tecnologia",1662,45.4515363,9.1619373,2,1971,9444035,19141
"Arredo,Arte,Esterni,Moda,Gioielli,Grafica,Illuminazione,Installazioni,Living,Materiali speciali,Product Design,Tecnologia",1036,45.4515363,9.1619373,2,1971,9444035,19141
"Arredo,Gioielli,Illuminazione,Living,Product Design",961,45.45149,9.1622615,2,2155,9444035,19141
"Altro,Arte,Installazioni,Materiali speciali,Product Design,Tecnologia",918,45.45149,9.162278,2,2152,9444035,19141
"Architettura,Arredo,Cucina,Living,Tecnologia",857,45.45149,9.162278,2,2152,9444035,19141
"Arredo,Arte,Grafica,Installazioni,Living,Product Design",95,45.4514093,9.1620015,2,2107,9444035,19141
"Arredo,Arte,Bagno,Conferenze, workshop,Esterni,Illuminazione,Installazioni,Living,Materiali speciali,Product Design",69,45.4514093,9.1620015,2,2107,9444035,19141
Arredo,554,45.4514093,9.1620015,2,2107,9444035,19141
"Architettura,Arredo,Esterni,Tecnologia",1283,45.4514093,9.1620015,2,2107,9444035,19141
Tecnologia,1547,45.45157,9.16206,2,2027,9444035,19141
Tecnologia,581,45.45149,9.162278,2,2152,9444035,19141
,1371,45.4516093,9.162278,2,2039,9444035,19141
Product Design,1448,45.45149,9.162278,2,2152,9444035,19141
Product Design,659,45.4516093,9.162211,2,2024,9444035,19141
"Architettura,Arredo,Arte,Product Design",102,45.4515363,9.1619373,3,567,9444035,16431
"Altro,Installazioni,Tecnologia",916,45.4515363,9.1619373,3,567,9444035,16431
"Architettura,Arredo,Arte,Bagno,Cucina,Esterni,Illuminazione,Installazioni,Materiali speciali,Product Design,Tecnologia",1662,45.4515363,9.1619373,3,567,9444035,16431
"Arredo,Arte,Esterni,Moda,Gioielli,Grafica,Illuminazione,Installazioni,Living,Materiali speciali,Product Design,Tecnologia",1036,45.4515363,9.1619373,3,567,9444035,16431
"Arredo,Gioielli,Illuminazione,Living,Product Design",961,45.45149,9.1622615,3,581,9444035,16431
"Altro,Arte,Installazioni,Materiali speciali,Product Design,Tecnologia",918,45.45149,9.162278,3,585,9444035,16431
"Architettura,Arredo,Cucina,Living,Tecnologia",857,45.45149,9.162278,3,585,9444035,16431
"Arredo,Arte,Grafica,Installazioni,Living,Product Design",95,45.4514093,9.1620015,3,580,9444035,16431
"Arredo,Arte,Bagno,Conferenze, workshop,Esterni,Illuminazione,Installazioni,Living,Materiali speciali,Product Design",69,45.4514093,9.1620015,3,580,9444035,16431
Arredo,554,45.4514093,9.1620015,3,580,9444035,16431
"Architettura,Arredo,Esterni,Tecnologia",1283,45.4514093,9.1620015,3,580,9444035,16431
Tecnologia,1547,45.45157,9.16206,3,573,9444035,16431
,1371,45.4516093,9.162278,3,558,9444035,16431
Product Design,1448,45.45149,9.162278,3,585,9444035,16431
Product Design,659,45.4516093,9.162211,3,564,9444035,16431
"Altro,Installazioni,Tecnologia",916,45.4515363,9.1619373,0,2,9444035,6037
"Altro,Arte,Installazioni,Materiali speciali,Product Design,Tecnologia",918,45.45149,9.162278,0,2,9444035,6037
"Architettura,Arredo,Cucina,Living,Tecnologia",857,45.45149,9.162278,0,2,9444035,6037
"Arredo,Arte,Grafica,Installazioni,Living,Product Design",95,45.4514093,9.1620015,0,2,9444035,6037
Tecnologia,1547,45.45157,9.16206,0,2,9444035,6037
,1371,45.4516093,9.162278,0,2,9444035,6037
Product Design,1448,45.45149,9.162278,0,2,9444035,6037
Product Design,659,45.4516093,9.162211,0,2,9444035,6037
Product Design,1063,45.4689203,9.1991368,0,0,9343985,7468
Product Design,1063,45.4689203,9.1991368,1,135,9343985,26515
"Moda,Party,Product Design",1366,45.4682844,9.1989759,1,133,9343985,26515
"Altro,Arredo,Illuminazione",1487,45.4688547,9.1999536,1,213,9343985,26515
Product Design,1063,45.4689203,9.1991368,2,344,9343985,46744
"Moda,Party,Product Design",1366,45.4682844,9.1989759,2,420,9343985,46744
"Altro,Arredo,Illuminazione",1487,45.4688547,9.1999536,2,435,9343985,46744
Product Design,1063,45.4689203,9.1991368,3,57,9343985,28158
"Moda,Party,Product Design",1366,45.4682844,9.1989759,3,63,9343985,28158
"Altro,Arredo,Illuminazione",1487,45.4688547,9.1999536,3,87,9343985,28158
"Arte,Installazioni",1582,45.4850878,9.176209,3,27,9251047,4247
"Living,Product Design",31,45.4850878,9.176209,3,27,9251047,4247
"Arte,Installazioni,Product Design",1581,45.4850878,9.176209,3,27,9251047,4247
"Arredo,Arte,Conferenze, workshop,Product Design",1386,45.4850878,9.176209,3,27,9251047,4247
"Altro,Architettura,Arredo,Cucina,Esterni,Illuminazione,Materiali speciali,Product Design",565,45.4850878,9.176209,3,27,9251047,4247
"Architettura,Materiali speciali,Tecnologia",624,45.4850878,9.176209,3,27,9251047,4247
"Arte,Installazioni",1582,45.4850878,9.176209,1,34,9251047,3982
"Living,Product Design",31,45.4850878,9.176209,1,34,9251047,3982
"Arte,Installazioni,Product Design",1581,45.4850878,9.176209,1,34,9251047,3982
"Arredo,Arte,Conferenze, workshop,Product Design",1386,45.4850878,9.176209,1,34,9251047,3982
"Altro,Architettura,Arredo,Cucina,Esterni,Illuminazione,Materiali speciali,Product Design",565,45.4850878,9.176209,1,34,9251047,3982
"Architettura,Materiali speciali,Tecnologia",624,45.4850878,9.176209,1,34,9251047,3982
"Arte,Installazioni",1582,45.4850878,9.176209,2,21,9251047,5230
