squareid,timeslot,lat,lon,activity
8965120,0,45.534791667600004,9.1641668383,1125
8965120,1,45.534791667600004,9.1641668383,2092
8965120,2,45.534791667600004,9.1641668383,2531
8965120,3,45.534791667600004,9.1641668383,2322
8965121,0,45.534791667600004,9.1658335051,711
8965121,1,45.534791667600004,9.1658335051,1343
8965121,2,45.534791667600004,9.1658335051,1660
8965121,3,45.534791667600004,9.1658335051,1508
8965122,0,45.534791667600004,9.1675001719,77
8965122,1,45.534791667600004,9.1675001719,182
8965122,2,45.534791667600004,9.1675001719,232
8965122,3,45.534791667600004,9.1675001719,196
8965123,0,45.534791667600004,9.1691668387,73
8965123,1,45.534791667600004,9.1691668387,182
8965123,2,45.534791667600004,9.1691668387,232
8965123,3,45.534791667600004,9.1691668387,187
8965124,0,45.534791667600004,9.1708335055,445
8965124,1,45.534791667600004,9.1708335055,902
8965124,2,45.534791667600004,9.1708335055,1098
8965124,3,45.534791667600004,9.1708335055,980
8965125,0,45.534791667600004,9.1725001723,1491
8965125,1,45.534791667600004,9.1725001723,3134
8965125,2,45.534791667600004,9.1725001723,3765
8965125,3,45.534791667600004,9.1725001723,3302
8965126,0,45.534791667600004,9.1741668391,97
8965126,1,45.534791667600004,9.1741668391,221
8965126,2,45.534791667600004,9.1741668391,282
8965126,3,45.534791667600004,9.1741668391,244
8965127,0,45.534791667600004,9.1758335059,95
8965127,1,45.534791667600004,9.1758335059,223
8965127,2,45.534791667600004,9.1758335059,288
8965127,3,45.534791667600004,9.1758335059,246
8965128,0,45.534791667600004,9.1775001727,93
8965128,1,45.534791667600004,9.1775001727,223
8965128,2,45.534791667600004,9.1775001727,285
8965128,3,45.534791667600004,9.1775001727,240
8965129,0,45.534791667600004,9.1791668395,205
8965129,1,45.534791667600004,9.1791668395,446
8965129,2,45.534791667600004,9.1791668395,536
8965129,3,45.534791667600004,9.1791668395,480
8972265,0,45.5335416675,9.159166837899999,1477
8972265,1,45.5335416675,9.159166837899999,3432
8972265,2,45.5335416675,9.159166837899999,3984
8972265,3,45.5335416675,9.159166837899999,3258
8972266,0,45.5335416675,9.160833504700001,1364
8972266,1,45.5335416675,9.160833504700001,3039
8972266,2,45.5335416675,9.160833504700001,3530
8972266,3,45.5335416675,9.160833504700001,2934
8972267,0,45.5335416675,9.1625001715,1828
8972267,1,45.5335416675,9.1625001715,3197
8972267,2,45.5335416675,9.1625001715,3870
8972267,3,45.5335416675,9.1625001715,3651
8972268,0,45.5335416675,9.1641668383,923
8972268,1,45.5335416675,9.1641668383,1662
8972268,2,45.5335416675,9.1641668383,2016
8972268,3,45.5335416675,9.1641668383,1897
8972269,0,45.5335416675,9.1658335051,948
8972269,1,45.5335416675,9.1658335051,1690
8972269,2,45.5335416675,9.1658335051,2083
8972269,3,45.5335416675,9.1658335051,1972
8972270,0,45.5335416675,9.1675001719,631
8972270,1,45.5335416675,9.1675001719,1149
8972270,2,45.5335416675,9.1675001719,1427
8972270,3,45.5335416675,9.1675001719,1335
8972271,0,45.5335416675,9.1691668387,89
8972271,1,45.5335416675,9.1691668387,194
8972271,2,45.5335416675,9.1691668387,239
8972271,3,45.5335416675,9.1691668387,214
8972272,0,45.5335416675,9.1708335055,1250
8972272,1,45.5335416675,9.1708335055,2426
8972272,2,45.5335416675,9.1708335055,2894
8972272,3,45.5335416675,9.1708335055,2673
8972273,0,45.5335416675,9.1725001723,1116
8972273,1,45.5335416675,9.1725001723,2156
8972273,2,45.5335416675,9.1725001723,2594
8972273,3,45.5335416675,9.1725001723,2396
8972274,0,45.5335416675,9.1741668391,106
8972274,1,45.5335416675,9.1741668391,229
8972274,2,45.5335416675,9.1741668391,287
8972274,3,45.5335416675,9.1741668391,254
8972275,0,45.5335416675,9.1758335059,105
8972275,1,45.5335416675,9.1758335059,228
8972275,2,45.5335416675,9.1758335059,287
8972275,3,45.5335416675,9.1758335059,254
8972276,0,45.5335416675,9.1775001727,89
8972276,1,45.5335416675,9.1775001727,213
8972276,2,45.5335416675,9.1775001727,266
8972276,3,45.5335416675,9.1775001727,219
8972277,0,45.5335416675,9.1791668395,92
8972277,1,45.5335416675,9.1791668395,223
8972277,2,45.5335416675,9.1791668395,282
8972277,3,45.5335416675,9.1791668395,229
8972278,0,45.5335416675,9.1808335063,245
8972278,1,45.5335416675,9.1808335063,529
8972278,2,45.5335416675,9.1808335063,663
8972278,3,45.5335416675,9.1808335063,569
8972279,0,45.5335416675,9.1825001731,178
8972279,1,45.5335416675,9.1825001731,369
8972279,2,45.5335416675,9.1825001731,458
8972279,3,45.5335416675,9.1825001731,405
